_SAPPCTXT_HEADER_               002 7500 CHART PL 1404 27.04.2017-23:49 OK 
100                             017 "OgÛlnie"
1000                            034 "Niepop. wartoúÊ w≥aúciwoúci"
1001                            045 "Niemoøliwa inicjalizacja dialogu"
1002                            030 "B≥πd podczas zapamiÍtywania"
1003                            031 "B≥πd podczas wczytywania"
1004                            032 "B≥πd podczas wydruku"
1005                            039 "Zbyt ma≥o dostÍpnej pamiÍci"
1006                            042 "Za ma≥o dostÍpnych zasobÛw"
1007                            025 "Niepoprawny indeks"
1008                            028 "Niepoprawny argument"
4000                            018 "RRRR;0;0"
4001                            017 "'RR;0;1"
4002                            025 "Miesiπc, RRRR;2;2"
4003                            022 "Mies.,'RR;2;3"
4004                            019 "Miesiπc;2;4"
4005                            017 "Mies;2;5"
4006                            015 "M;2;6"
4007                            015 "M;2;7"
4008                            028 "DD. Miesiπc RRRR;3;8"
4009                            027 "DD. Miesiπc 'RR;3;9"
4010                            022 "DD. Mies.;3;10"
4011                            020 "DD. M;3;11"
4012                            019 "D.M.;3;12"
4013                            034 "TT, DD. - DD. Mies.;3;13"
4014                            034 "TT, DD.MM. - DD.MM.;3;14"
4015                            038 "TT, DD.MM. - DD.MM.RRRR;3;15"
4016                            036 "TT, DD.MM. - DD.MM.RR;3;16"
4017                            022 "T. TydzieÒ;3;17"
4018                            016 "T;3;18"
4019                            027 "Data okna;3;19"
4020                            029 "Dz DD. Mies.'RR;4;20"
4021                            025 "Dz DD. Mies.;4;21"
4022                            026 "DD. Mies.'RR;4;22"
4023                            022 "DD. Mies.;4;23"
4024                            029 "DzieÒ (úwiÍta);4;24"
4025                            017 "Dz;4;25"
4026                            016 "D;4;26"
4027                            025 "DD.MM.RRRR;4;27"
4028                            027 "Dz, DD.MM.RR;4;28"
4029                            030 "DzieÒ, DD.MM.RRRR;4;29"
4030                            023 "DD.MM.RR;4;30"
4031                            018 "DzieÒ;4;31"
4032                            028 "DDD, DD.MM.RR;4;32"
4033                            023 "DDD RRRR;4;33"
4034                            022 "DDD 'RR;4;34"
4035                            018 "DDD;4;35"
4036                            027 "Data Windows;4;36"
4037                            032 "Dz DD.MM.RR hh:mm;5;37"
4038                            029 "DD.MM.RR hh:mm;5;38"
4039                            024 "DzieÒ hh:mm;5;39"
4040                            023 "Dz hh:mm;5;40"
4041                            032 "Dz DD. M., hh dnia;5;41"
4042                            029 "DD. M., hh dnia;5;42"
4043                            028 "Dz M., hh dnia;5;43"
4044                            020 "hh dnia;5;44"
4045                            017 "hh;5;45"
4046                            034 "Data i czas Win.;5;46"
4047                            027 "Czas Windows;5;47"
4048                            020 "hh:mm;5;48"
4049                            023 "hh:mm:ss;5;49"
4050                            017 "DD;4;50"
4051                            020 "DD.MM;4;59"
4052                            017 "MM;6;51"
4053                            021 "K RRRR;1;52"
4054                            020 "K 'RR;1;53"
4055                            021 "K.RRRR;1;54"
4056                            019 "K.RR;1;55"
4057                            020 "mm:ss;6;56"
4058                            017 "ss;6;57"
4059                            019 "KW T;3;58"
4099                            012 "51"
4200                            017 "StyczeÒ"
4201                            018 "Luty"
4202                            015 "Marzec"
4203                            015 "KwiecieÒ"
4204                            013 "Maj"
4205                            014 "Czerwiec"
4206                            014 "Lipiec"
4207                            016 "SierpieÒ"
4208                            019 "WrzesieÒ"
4209                            017 "Paüdziernik"
4210                            018 "Listopad"
4211                            018 "GrudzieÒ"
4212                            013 "Sty"
4213                            013 "Luty"
4214                            013 "Marz."
4215                            013 "KwiecieÒ"
4216                            013 "Maj"
4217                            013 "Czer."
4218                            013 "Lip."
4219                            013 "SierpieÒ"
4220                            013 "Wrz."
4221                            013 "Paü."
4222                            013 "List."
4223                            013 "Grudz."
4224                            011 "J"
4225                            011 "F"
4226                            011 "M"
4227                            011 "A"
4228                            011 "M"
4229                            011 "J"
4230                            011 "J"
4231                            011 "A"
4232                            011 "S"
4233                            011 "O"
4234                            011 "N"
4235                            011 "D"
4236                            016 "Poniedzia≥ek"
4237                            017 "Wtorek"
4238                            019 "åroda"
4239                            018 "Czwartek"
4240                            016 "Piπtek"
4241                            018 "Sobota"
4242                            016 "Niedziela"
4243                            012 "Pn"
4244                            012 "Wt"
4245                            012 "år"
4246                            012 "Cz"
4247                            012 "Pt"
4248                            012 "So"
4249                            012 "Nd"
4250                            011 "P"
4251                            011 "W"
4252                            011 "å"
4253                            011 "C"
4254                            011 "P"
4255                            011 "S"
4256                            011 "N"
4257                            017 "Rok (lata)"
4258                            020 "Kwarta≥(y)"
4259                            018 "Miesiπc(e)"
4260                            017 "TydzieÒ...."
4261                            016 "DzieÒ/dni"
4262                            017 "Godzina(y)..."
4263                            019 "Minuta(y)"
4264                            019 "Sekunda(y)"
4265                            022 "Czas pracy"
4270                            014 "Kwarta≥"
4271                            014 "TydzieÒ"
4400                            019 "Zaznaczenie"
4402                            014 "Bez"
4403                            014 "Tekst"
4404                            016 "Liniowo"
4405                            021 "Logarytmicznie"
4406                            019 "Potencjalny"
4407                            021 "Wyk≥adniczy"
4408                            016 "Ruchomy"
4409                            017 "WartoúÊ úrednia"
4415                            021 "Wielk. oryg."
4416                            015 "Sπsiaduj."
4417                            024 "Dostosowanie"
4418                            018 "Dostos. proporcji"
4419                            018 "Wype≥nien. propor."
10012                           015 " dnia:"
10013                           027 "A4 (210 * 297 mm)"
10014                           032 "Letter (8,5 * 11 cali)"
10015                           031 "Legal (8,5 * 14 cali)"
10016                           016 "Normalnie"
10017                           027 "Strona %ld jest drukowana"
10018                           020 "od %s"
10019                           054 "Wystπpi≥ ogÛlny b≥πd podczas drukowania"
10020                           070 "Za ma≥o pamiÍci na twardym dysku podczas drukowania"
10021                           055 "Za ma≥o pamiÍci na twardym dysku"
10022                           097 "Nie zainstalowano drukarki. ProszÍ zainstalowaÊ drukarkÍ i powtÛrzyÊ operacjÍ drukowania"
10023                           028 "\t&[view]\t&[date]"
10024                           024 "\tStrona &[page]"
10027                           098 "Podana drukarka lub po≥πczenie drukarki jest nieprawid≥owe. Zostanie uøyta drukarka standardowa"
12000                           016 "Poniedzia≥ek"
12001                           017 "Wtorek"
12002                           019 "åroda"
12003                           018 "Czwartek"
12004                           016 "Piπtek"
12005                           018 "Sobota"
12006                           016 "Niedziela"
12007                           017 "DzieÒ tygodnia"
12008                           019 "Weekendy"
12009                           018 "Dni úwiπteczne"
12010                           018 "Dni urlopu"
12011                           025 "Dni nieobecnoúci"
12321                           015 "Zastosowanie"
15000                           016 "Anulowanie"
15001                           019 "\t Ctrl+Z"
15002                           014 "Przeniesienie"
15004                           021 "Zmiana rozmiaru"
15007                           023 "NiedostÍpny"
18000                           014 "Czcionka"
18001                           016 "Rodz. czcionki:"
18003                           022 "Styl:"
18005                           016 "Rozmiar"
18007                           017 "Kolor:"
18009                           017 "Efekty"
18010                           024 "Przekreúlone"
18011                           020 "Podkreúlone"
18012                           017 "Przeglπd"
18013                           019 "Grafiti"
18600                           015 "Drukowanie"
18601                           017 "Drukarka"
18604                           024 "Przekier. wydr. do pliku"
18605                           024 "W≥aúciwoúci..."
18606                           021 "Obszar drukowania"
18607                           014 "Wszystko"
18608                           022 "Strony od:"
18611                           014 "do:"
18614                           016 "Kopie"
18615                           028 "Liczba kopii:"
18619                           018 "Sortowanie"
18620                           024 "Podglπd wydruku"
18621                           024 "Ustaw. strony..."
18700                           014 "Strona"
18701                           022 "Rozmiar papieru:"
18703                           025 "JakoúÊ wydruku:"
18705                           021 "WyrÛwnanie"
18706                           019 "Pionowy"
18707                           021 "Poziomy"
18708                           016 "Centrowanie"
18709                           023 "Poziomy"
18710                           021 "Pionowy"
18800                           022 "Marginesy stron"
18801                           016 "Marginesy"
18802                           016 "Po lewej:"
18805                           017 "Po prawej:"
18808                           015 "Na gÛrze:"
18811                           018 "Na dole:"
18814                           017 "OdstÍpy"
18815                           018 "Linia nag≥Ûwka:"
18818                           018 "Linia stopki:"
18821                           017 "Prognoza"
18900                           017 "Opcje"
18901                           017 "Skalowanie"
18902                           017 "Skalowanie:"
18905                           018 "Dostosowanie do:"
18908                           017 "Strona(y)"
18909                           019 "Pionowy"
18910                           021 "Poziomy"
18911                           021 "Opcje..."
19000                           015 "Drukowanie"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "DHM,"
20017                           114 "Marginesy stron drukarki sπ wiÍksze niø marginesy strony.\nCzy dostosowaÊ marginesy do strony?"
20018                           056 "ProszÍ wybraÊ drukarkÍ przed drukowaniem"
20019                           020 "Ustawienia strony"
20020                           014 "Auto."
20023                           041 "Za ma≥o dostÍpnych zasobÛw"
20024                           029 "B≥πd podczas zapam."
20025                           030 "B≥πd podczas wczytywania"
20026                           017 "Kolor:"
20027                           022 "Pierwszy plan:"
20028                           022 "T≥o:"
20029                           023 "Kolor zakresk. obsz.:"
20030                           016 "Od:"
20031                           014 "Do:"
20032                           019 "Wzorzec:"
20033                           017 "Zakresk.obsz.:"
20034                           020 "Przebieg:"
20064                           019 "Drukowanie..."
20066                           024 "Ustaw. strony..."
20072                           030 "ZamkniÍcie podglπdu strony"
20087                           017 "Nieznany"
20088                           014 "Cienki"
20089                           021 "Bardzo jasny"
20090                           015 "Jasny"
20091                           017 "Regularnie"
20092                           016 "årednie"
20093                           018 "årednio gruby"
20094                           014 "Pogrubienie"
20095                           020 "Bardzo gruby"
20096                           015 "CiÍøki"
20097                           021 "Bardzo ciÍøki"
20098                           017 "Kursywa"
20099                           017 "Nieznany"
20105                           019 "Podkreúlenie"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Obiekt"
20110                           017 "Obiekty"
20111                           033 "Plik nie mÛg≥ zostaÊ odczytany"
20112                           081 "Za ma≥o pamiÍci. ProszÍ zamknπÊ jednπ lub wiÍcej aplikacji"
20113                           044 "Wybrany styl nie istnieje"
20114                           058 "Rozmiar czcionki musi zawieraÊ siÍ pomiÍdzy 1 a 1635"
20115                           089 "Wybrany rodzaj czcionki w systemie nie jest dostÍpny. Czy mimo to uøyÊ go?"
20119                           020 "Obiekt..."
20128                           057 "Wsp. powiÍk. powienin mieÊ wartoúÊ od 25 % do 400 %"
20141                           055 "ProszÍ podaÊ wartoúÊ wiÍkszπ bπdü rÛwnπ 0"
20142                           055 "ProszÍ podaÊ wartoúÊ wiÍkszπ bπdü rÛwnπ 1"
20145                           079 "Liczba stron do dostosowania musi zawieraÊ siÍ w przedziale od 1 do 100"
20147                           014 "Wysoki"
20148                           016 "åredni"
20149                           013 "Niski"
