_SAPPCTXT_HEADER_               002 7500 CHART PT 1100 27.04.2017-23:50 OK 
100                             017 "Geral"
1000                            034 "Valor de característica não válido"
1001                            045 "O diálogo não pode ser inicializado"
1002                            030 "Erro ao gravar"
1003                            031 "Erro no carregamento"
1004                            032 "Erro de impressão"
1005                            039 "Memória disponível insuficiente"
1006                            042 "Recursos disponíveis insuficientes"
1007                            025 "Índice inválido"
1008                            028 "Argumento não válido"
4000                            018 "AAAA;0;0"
4001                            017 "'AA;0;1"
4002                            025 "Mês, AAAA;2;2"
4003                            022 "Mês, 'AA;2;3"
4004                            019 "Mês;2;4"
4005                            017 "Mês;2;5"
4006                            015 "M;2;6"
4007                            015 "M;2;7"
4008                            028 "DD. Mês AAAA;3;8"
4009                            027 "DD. Mês 'AA;3;9"
4010                            022 "DD. Mês;3;10"
4011                            020 "DD. M;3;11"
4012                            019 "D.M.;3;12"
4013                            034 "SS, DD. - DD. Mês;3;13"
4014                            034 "SS, DD.MM. - DD.MM.;3;14"
4015                            038 "SS, DD.MM. - DD.MM.AAAA;3;15"
4016                            036 "SS, DD.MM. - DD.MM.AA;3;16"
4017                            022 "S. Semana;3;17"
4018                            016 "S;3;18"
4019                            027 "Data Windows;3;19"
4020                            029 "D DD. Mês 'AA;4;20"
4021                            025 "D DD. Mês;4;21"
4022                            026 "DD. Mês 'AA;4;22"
4023                            022 "DD. Mês;4;23"
4024                            029 "Dia (Feriados);4;24"
4025                            017 "D;4;25"
4026                            016 "D;4;26"
4027                            025 "DD.MM.AAAA;4;27"
4028                            027 "D, DD.MM.AA;4;28"
4029                            030 "Dia, DD.MM.AAAA;4;29"
4030                            023 "DD.MM.AA;4;30"
4031                            018 "Dia;4;31"
4032                            028 "DDD, DD.MM.AA;4;32"
4033                            023 "DDD AAAA;4;33"
4034                            022 "DDD 'AA;4;34"
4035                            018 "DDD;4;35"
4036                            027 "Data Windows;4;36"
4037                            032 "D DD.MM.AA hh:mm;5;37"
4038                            029 "DD.MM.AA hh:mm;5;38"
4039                            024 "Dia hh:mm;5;39"
4040                            023 "D hh:mm;5;40"
4041                            032 "D DD. Mês, hh am;5;41"
4042                            029 "DD. Mês, hh am;5;42"
4043                            028 "D Mês, hh am;5;43"
4044                            020 "hh am;5;44"
4045                            017 "hh;5;45"
4046                            034 "Data e hora Windows;5;46"
4047                            027 "Hora Windows;5;47"
4048                            020 "hh:mm;5;48"
4049                            023 "hh:mm:ss;5;49"
4050                            017 "DD;4;50"
4051                            020 "DD.MM;4;59"
4052                            017 "MM;6;51"
4053                            021 "T AAAA;1;52"
4054                            020 "T 'AA;1;53"
4055                            021 "T.AAAA;1;54"
4056                            019 "T.AA;1;55"
4057                            020 "mm:ss;6;56"
4058                            017 "ss;6;57"
4059                            019 "SA S;3;58"
4099                            012 "51"
4200                            017 "Janeiro"
4201                            018 "Fevereiro"
4202                            015 "Março"
4203                            015 "Abril"
4204                            013 "Maio"
4205                            014 "Junho"
4206                            014 "Julho"
4207                            016 "Agosto"
4208                            019 "Setembro"
4209                            017 "Outubro"
4210                            018 "Novembro"
4211                            018 "Dezembro"
4212                            013 "Jan"
4213                            013 "Fev."
4214                            013 "Mar."
4215                            013 "Abr."
4216                            013 "Maio"
4217                            013 "Jun."
4218                            013 "Jul."
4219                            013 "Ag."
4220                            013 "Set."
4221                            013 "Out."
4222                            013 "Nov."
4223                            013 "Dec."
4224                            011 "J"
4225                            011 "F"
4226                            011 "M"
4227                            011 "A"
4228                            011 "M"
4229                            011 "J"
4230                            011 "J"
4231                            011 "A"
4232                            011 "S"
4233                            011 "O"
4234                            011 "N"
4235                            011 "D"
4236                            016 "2ª-feira"
4237                            017 "Terça-feira"
4238                            019 "4ª-feira"
4239                            018 "Quinta-feira"
4240                            016 "6ª-feira"
4241                            018 "Sábado"
4242                            016 "Domingo"
4243                            012 "2ª-feira"
4244                            012 "3ª-feira"
4245                            012 "4ª-feira"
4246                            012 "5ª-feira"
4247                            012 "6ª-feira"
4248                            012 "Sáb."
4249                            012 "Dom."
4250                            011 "M"
4251                            011 "F"
4252                            011 "M"
4253                            011 "F"
4254                            011 "T"
4255                            011 "I"
4256                            011 "I"
4257                            017 "Ano(s)"
4258                            020 "Trimestre(s)"
4259                            018 "Mês(meses)"
4260                            017 "Semana(s)..."
4261                            016 "Dia(s)"
4262                            017 "Hora(s)....."
4263                            019 "Minuto(s)"
4264                            019 "Segundo(s)"
4265                            022 "Tempo tratamento"
4270                            014 "Trim."
4271                            014 "Semana"
4400                            019 "Marcação"
4402                            014 "Sem"
4403                            014 "Texto"
4404                            016 "Linear"
4405                            021 "Logarítmico"
4406                            019 "Potencial"
4407                            021 "Exponencial"
4408                            016 "Flutuante"
4409                            017 "Média"
4415                            021 "Tam.original"
4416                            015 "Lado a lado"
4417                            024 "Ajustar"
4418                            018 "Ajustar proporc."
4419                            018 "Preencher proporc."
10012                           015 " Em:"
10013                           027 "A4 (210 * 297 mm)"
10014                           032 "Carta (8,5 * 11 polegadas)"
10015                           031 "Legal (8,5 * 14 polegadas)"
10016                           016 "Normal"
10017                           027 "Página %ld é impressa"
10018                           020 "a partir de %s"
10019                           054 "Ocorreu erro geral ao imprimir"
10020                           070 "Não existe espaço de memória suficiente no disco rígido ao imprimir"
10021                           055 "Não existe espaço de memória suficiente no disco rígido"
10022                           097 "Nenhuma impressora instalada. Instalar uma impressora e repetir a operação de impressão"
10023                           028 "\t[visão]\t[data]"
10024                           024 "\tpágina &[page]"
10027                           098 "A impressora transferida ou conexão de impressora é inválida. É utilizada a impressora padrão"
12000                           016 "2ª-feira"
12001                           017 "3ª-feira"
12002                           019 "4ª-feira"
12003                           018 "5ª-feira"
12004                           016 "6ª-feira"
12005                           018 "Sábado"
12006                           016 "Domingo"
12007                           017 "Dia da semana"
12008                           019 "Fins de semana"
12009                           018 "Feriados"
12010                           018 "Dias de férias"
12011                           025 "Dias de inatividade"
12321                           015 "Transferir"
15000                           016 "Anular"
15001                           019 "\t Ctrl+Z"
15002                           014 "Deslocar"
15004                           021 "Modificar tamanho"
15007                           023 "Não disponível"
18000                           014 "Fonte"
18001                           016 "Fonte:"
18003                           022 "Estilo:"
18005                           016 "Tamanho"
18007                           017 "Cor:"
18009                           017 "Efeitos"
18010                           024 "Riscado"
18011                           020 "Sublinhado"
18012                           017 "Visualização"
18013                           019 "Grafiti"
18600                           015 "Imprimir"
18601                           017 "Impressora"
18604                           024 "Imprimir no file"
18605                           024 "Características..."
18606                           021 "Área de impressão"
18607                           014 "Tudo"
18608                           022 "Páginas de:"
18611                           014 "Até:"
18614                           016 "Cópias"
18615                           028 "Nº cópias:"
18619                           018 "Ordenar"
18620                           024 "Exibição de página"
18621                           024 "Definir página..."
18700                           014 "Página"
18701                           022 "Tamanho do papel:"
18703                           025 "Qualidade da impressão:"
18705                           021 "Alinhamento"
18706                           019 "Vertical"
18707                           021 "Horizontal"
18708                           016 "Ao centro"
18709                           023 "Horizontal"
18710                           021 "Vertical"
18800                           022 "Margens da página"
18801                           016 "Margens"
18802                           016 "À esquerda:"
18805                           017 "À direita:"
18808                           015 "&Em cima:"
18811                           018 "Em baixo:"
18814                           017 "Espaçamentos"
18815                           018 "Linha cabeçalho:"
18818                           018 "Rodapé:"
18821                           017 "Visualização"
18900                           017 "Opções"
18901                           017 "Escalamento"
18902                           017 "Ajustar a escala:"
18905                           018 "Ajustar a:"
18908                           017 "Página(s)"
18909                           019 "Vertical"
18910                           021 "Horizontal"
18911                           021 "Opções..."
19000                           015 "Imprimir"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "THM,"
20017                           114 "As margens da página da impressora são maiores que as da página. \nAjustar margens à página?"
20018                           056 "Selecionar uma impressora p/que seja possível imprimir"
20019                           020 "Configurar página"
20020                           014 "Veículo"
20023                           041 "Recursos disponíveis insuficientes"
20024                           029 "Erro ao gravar"
20025                           030 "Erro no carregamento"
20026                           017 "Cor:"
20027                           022 "Primeiro plano:"
20028                           022 "Background:"
20029                           023 "Cor de hachura:"
20030                           016 "Desde:"
20031                           014 "Até:"
20032                           019 "&Modelo:"
20033                           017 "Hachura:"
20034                           020 "Gradação:"
20064                           019 "Imprimir..."
20066                           024 "Formato de página..."
20072                           030 "Encerrar exibição de página"
20087                           017 "Desconhecido"
20088                           014 "Fino"
20089                           021 "Ultraleve"
20090                           015 "Leve"
20091                           017 "Regular"
20092                           016 "Médio"
20093                           018 "Seminegrito"
20094                           014 "Negrito"
20095                           020 "Ultra negrito"
20096                           015 "Pesado"
20097                           021 "Ultra-pesado"
20098                           017 "Itálico"
20099                           017 "Desconhecido"
20105                           019 "Sublinhado"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Objeto"
20110                           017 "Objetos"
20111                           033 "Não foi possível ler file"
20112                           081 "Não existe memória suficiente. Fechar uma ou mais aplicações"
20113                           044 "Estilo selecionado não existe"
20114                           058 "O tamanho da fonte deve-se situar entre 1 e 1635"
20115                           089 "Fonte selecionada indisponível no sistema. Utilizar todavia fonte?"
