_SAPPCTXT_HEADER_               002 7500 CHART SK 1404 27.04.2017-23:50 OK 
100                             017 "Všeobecné"
1000                            034 "Neplatná hodnota vlastnosti"
1001                            045 "Dialóg sa nedá inicializova"
1002                            030 "Chyba pri ukladaní"
1003                            031 "Chyba pri zavádzaní"
1004                            032 "Chyba pri tlaèi"
1005                            039 "K dispozícii je príliš málo pamäte"
1006                            042 "K dispozícii je príliš málo zdrojov"
1007                            025 "Neplatnı index"
1008                            028 "Neplatnı argument"
4000                            018 "RRRR;0;0"
4001                            017 "'RR;0;1"
4002                            025 "Mesiac,RRRR;2;2"
4003                            022 "Mes, 'RR;2;3"
4004                            019 "Mesiac;2;4"
4005                            017 "Mes.;2;5"
4006                            015 "M;2;6"
4007                            015 "M;2;7"
4008                            028 "DD. Mesiac RRRR;3;8"
4009                            027 "DD. Mesiac 'RR;3;9"
4010                            022 "DD. Mes;3;10"
4011                            020 "DD. M;3;11"
4012                            019 "D.M.;3;12"
4013                            034 "TT, DD. - DD. Mesiac;3;13"
4014                            034 "TT, DD.MM. - DD.MM.;3;14"
4015                            038 "TT, DD.MM. - DD.MM.RRRR;3;15"
4016                            036 "TT, DD.MM. - DD.MM.RR;3;16"
4017                            022 "T. Tıdeò;3;17"
4018                            016 "T;3;18"
4019                            027 "Dátum Windows;3;19"
4020                            029 "Dò DD. Mes 'RR;4;20"
4021                            025 "Dò DD. Mes;4;21"
4022                            026 "DD. Mes 'RR;4;22"
4023                            022 "DD. Mes;4;23"
4024                            029 "Deò (sviatky);4;24"
4025                            017 "Dò;4;25"
4026                            016 "D;4;26"
4027                            025 "DD.MM.RRRR;4;27"
4028                            027 "Dò, DD.MM.RR;4;28"
4029                            030 "Deò, DD.MM.RRRR;4;29"
4030                            023 "DD.MM.RR;4;30"
4031                            018 "Deò;4;31"
4032                            028 "DDD, DD.MM.RR;4;32"
4033                            023 "DDD RRRR;4;33"
4034                            022 "DDD 'RR;4;34"
4035                            018 "DDD;4;35"
4036                            027 "Dátum Windows;4;36"
4037                            032 "Dò DD.MM.RR hh:mm;5;37"
4038                            029 "DD.MM.RR hh:mm;5;38"
4039                            024 "Deò hh:mm;5;39"
4040                            023 "Dò hh:mm;5;40"
4041                            032 "Dò DD. Mes, hh am;5;41"
4042                            029 "DD. Mes, hh am;5;42"
4043                            028 "Dò Mes, hh am;5;43"
4044                            020 "hh am;5;44"
4045                            017 "hh;5;45"
4046                            034 "Dátum a èas Windows;5;46"
4047                            027 "Èas Windows;5;47"
4048                            020 "hh:mm;5;48"
4049                            023 "hh:mm:ss;5;49"
4050                            017 "DD;4;50"
4051                            020 "DD.MM;4;59"
4052                            017 "MM;6;51"
4053                            021 "K RRRR;1;52"
4054                            020 "K 'RR;1;53"
4055                            021 "K.RRRR;1;54"
4056                            019 "K.RR;1;55"
4057                            020 "mm:ss;6;56"
4058                            017 "ss;6;57"
4059                            019 "KT T;3;58"
4099                            012 "51"
4200                            017 "Január"
4201                            018 "Február"
4202                            015 "Marec"
4203                            015 "Apríl"
4204                            013 "Máj"
4205                            014 "Jún"
4206                            014 "Júl"
4207                            016 "August"
4208                            019 "September"
4209                            017 "Október"
4210                            018 "November"
4211                            018 "December"
4212                            013 "Jan."
4213                            013 "Feb."
4214                            013 "Mar."
4215                            013 "Apr."
4216                            013 "Máj"
4217                            013 "Jún"
4218                            013 "Júl"
4219                            013 "Aug."
4220                            013 "Sept."
4221                            013 "Okt."
4222                            013 "Nov."
4223                            013 "Dec."
4224                            011 "J"
4225                            011 "F"
4226                            011 "M"
4227                            011 "A"
4228                            011 "M"
4229                            011 "J"
4230                            011 "J"
4231                            011 "A"
4232                            011 "S"
4233                            011 "O"
4234                            011 "N"
4235                            011 "D"
4236                            016 "Pondelok"
4237                            017 "Utorok"
4238                            019 "Streda"
4239                            018 "Štvrtok"
4240                            016 "Piatok"
4241                            018 "Sobota"
4242                            016 "Nede¾a"
4243                            012 "Po"
4244                            012 "Ut"
4245                            012 "St"
4246                            012 "Št"
4247                            012 "Pi"
4248                            012 "So"
4249                            012 "Ne"
4250                            011 "M"
4251                            011 "D"
4252                            011 "M"
4253                            011 "D"
4254                            011 "F"
4255                            011 "S"
4256                            011 "S"
4257                            017 "Rok(y)"
4258                            020 "Kvartál(y)"
4259                            018 "Mesiac(e)"
4260                            017 "Tıdeò(e)..."
4261                            016 "Deò(dni)"
4262                            017 "Hodina(y)..."
