_SAPPCTXT_HEADER_               002 7500 FESEC EN 1100 27.04.2017-23:48 OK 
SEC_REQVIEW_DECISION_COLUMN     050 "Decision"
SEC_REQVIEW_OBJECT_TYPE_COLUMN  050 "Object Type"
SEC_REQVIEW_ACCESS_TYPE_COLUMN  050 "Access Type"
SEC_REQVIEW_DEC_BASE_COLUMN     050 "Basis of Decision"
SEC_REQVIEW_OBJECT_NAME_COLUMN  050 "Object Name"
SEC_REQVIEW_OBJ_TYPE_ENV        050 "Environment Variable"
SEC_REQVIEW_OBJ_TYPE_REG_VALUE  050 "Registry Value"
SEC_REQVIEW_OBJ_TYPE_REG_KEY    050 "Registry Key"
SEC_REQVIEW_OBJ_TYPE_DIR        050 "Directory"
SEC_REQVIEW_OBJ_TYPE_CONTROL    050 "Control"
SEC_REQVIEW_OBJ_TYPE_FILE       050 "File"
SEC_REQVIEW_OBJ_TYPE_INVALID    050 "Invalid"
SEC_REQVIEW_DEC_DENY            050 "Deny"
SEC_REQVIEW_DEC_ALLOW           050 "Allow"
SEC_REQVIEW_OBJ_TYPE_CMD_LINE   050 "Command Line"
SEC_REQVIEW_OBJ_TYPE_SAP_SC     050 "SAP Shortcut"
SEC_REQVIEW_ACC_TYPE_READ       050 "Read"
SEC_REQVIEW_OBJ_TYPE_FILE_EXT   050 "File Extension"
SEC_REQVIEW_DBASE_DEF_ACTION    050 "Default Action"
SEC_REQVIEW_ACC_TYPE_EXECUTE    050 "Execute"
SEC_REQVIEW_DBASE_UNK           050 "Unknown"
SEC_REQVIEW_DBASE_SAP_RULE      050 "SAP Rule"
SEC_REQVIEW_DBASE_ADM_RULE      050 "Administrator Rule"
SEC_REQVIEW_DBASE_USR_RULE      050 "User Rule"
SEC_REQVIEW_DBASE_DEFSAP_RULE   050 "SAP Default Rule"
SEC_REQVIEW_DBASE_DEFADM_RULE   050 "Administrator Default Rule"
SEC_REQVIEW_DBASE_DEFUSR_RULE   050 "User Default Rule"
SEC_REQVIEW_DBASE_USER_ACTION   050 "User Action"
SEC_REQVIEW_ACC_TYPE_WRITE      050 "Write"
SEC_CL_LOGON_INTRO_FILE_ALL     255 "The SAP shortcut file \n\n%s\n\n is being executed. The SAP shortcut connection data is:\n\nSystem: %s\nClient: %s\nOK code: %s\n\n"
SEC_CL_LOGON_INTRO_FILE_SCL     255 "The SAP shortcut file \n\n%s\n\n is being executed. The SAP shortcut connection data is:\n\nSystem: %s\nClient: %s\n\n"
SEC_CL_LOGON_INTRO_FILE_SID     255 "The SAP shortcut file \n\n%s\n\n is being executed. The SAP shortcut connection data is:\n\nSystem: %s\n\n"
SEC_CL_LOGON_INTRO_FILE_NO      255 "The SAP shortcut file \n\n%s\n\n is being executed.\n\n"
SEC_CL_LOGON_INTRO_CMDLINE_ALL  255 "SAP GUI connections are started via the connection string:\n\n%s\n\nThe connection data is:\n\nSystem: %s\nClient: %s\nOK code: %s\n\n"
SEC_CL_LOGON_INTRO_CMDLINE_SCL  255 "SAP GUI connections are started via a command line; connection string:\n\n%s\n\nThe connection data is:\n\nSystem: %s\nClient: %s\n\n"
SEC_CL_LOGON_INTRO_CMDLINE_SID  255 "SAP GUI connections are started via a command line; connection string:\n\n%s\n\nThe connection data is:\n\nSystem: %s\n\n"
SEC_CL_LOGON_INTRO_CMDLINE_NO   255 "SAP GUI connections are started via the connection string\n\n%s\n\n"
SEC_CL_LOGON_FAILED_VERI        255 "ATTENTION: Verification of the specified system data failed\n\n"
SEC_SCREENSHOT_CREATE           255 "The server is trying to take a screenshot of the active SAP window?\nDo you want to allow this?"
SEC_CL_LOGON_FAILED_VERI_LONG   255 "ATTENTION: Verification of the specified system data failed. The connection string for the system is:\n\n%s\n\n"
SEC_CL_LOGON_NO_VERI_LONG       255 "ATTENTION: The system information could not be verified. The connection string for the system is:\n\n%s\n\n"
SEC_CL_LOGON_W_OK               255 "Do you want to log on to this system with the specified OK code?"
SEC_CL_LOGON_WO_OK              255 "Do you want to log on to this system?"
SEC_UI_MSG_TEXT_SPLIT_CNN_STR   255 "Cannot split connection string: %s"
SEC_CONTROL_INSTANTIATE         255 "The system is trying to instantiate the control\n\n%s\n\nDo you want to allow this?"
SEC_ENVIRONMENT_VAR_SET         255 "The system is trying to create/change the environment variable\n\n%s\n\nDo you want to allow this?"
SEC_ENVIRONMENT_VAR_ACCESS      255 "The system is trying to retrieve the environment variable\n\n%s\n\nDo you want to allow this?"
SEC_REG_VALUE_DELETE            255 "The system is trying to delete the registry value\n\n%s\n\nDo you want to grant access to this registry value?"
SEC_ADMIN_RULE_FILE_LOAD_ERR    255 "Failed to load administrator rule file from specified location!\nUsing SAP administrator rule file as a fallback.\nContact your system administrator."
SEC_DEF_ADM_RULE_FILE_LOAD_ERR  255 "Failed to load administrator rule file.\nCheck your installation."
SEC_NOTIFICATION_TEXT           255 "An action triggered by the server was denied based on a rule.\n\nDo you want to see a list of the actions triggered in the last communication step?"
SEC_NOTIFICATION_TEXT_CMD_LINE  255 "Execution of the command line\n\n%s\n\nwas denied."
SEC_NOTIFICATION_TEXT_SHORTCUT  255 "Execution of the SAP shortcut\n\n%s\n\nwas denied."
SEC_REG_VALUE_REPLACE           255 "The system is trying to modify the registry value\n\n%s\n\nDo you want to grant access to this registry value?"
SEC_REG_VALUE_ACCESS            255 "The system is trying to access the registry value\n\n%s\n\nDo you want to grant access to this registry value?"
SEC_REG_VALUE_CREATE_NO_ROOT    255 "The system is trying to create the registry value\n\n%s\n\nDo you want to allow this?"
SEC_REG_VALUE_SET               255 "The system is trying to create the registry value\n\n%s\n\nin the registry key\n\n%s\n\nDo you want to grant the permission to modify the parent registry key?"
SEC_REG_KEY_DELETE              255 "The system is trying to delete the registry key\n\n%s\n\nDo you want to allow this?"
SEC_REG_KEY_CREATE_NO_ROOT      255 "The system is trying to create the registry key\n\n%s\n\nDo you want to allow this?"
SEC_REG_KEY_CREATE              255 "The system is trying to create the registry key\n\n%s\n\nin the registry key\n\n%s\n\nDo you want to grant permission to modify the parent registry key and its subkeys?"
SEC_PROGRAM_EXEC_W_CMD_NO_NORM  255 "The system is trying to execute the program\n\n%s\n\nwith the command line\n\n%s\n\nATTENTION: The object that will be executed could not be determined!\n\nDo you want to grant permission to execute this program?"
SEC_PROGRAM_EXECUTE_W_CMD_LINE  255 "The system is trying to execute the program\n\n%s\n\nwith the command line\n\n%s\n\nDo you want to grant permission to execute this program?"
SEC_PROGRAM_EXECUTE_NO_NORM     255 "The system is trying to execute the program/display the file\n\n%s\n\nATTENTION: The object that will be executed could not be determined!\n\nDo you want to grant access to this file?"
SEC_PROGRAM_EXECUTE             255 "The system is trying to execute the program/display the file\n\n%s\n\nDo you want to grant access to this file?"
SEC_FILE_DELETE                 255 "The system is trying to delete the file\n\n%s\n\nDo you want to grant access to this file?"
SEC_FILE_MODIFY                 255 "The system is trying to modify the file\n\n%s\n\nDo you want to grant access to this file?"
SEC_FILE_ACCESS                 255 "The system is trying to access the file\n\n%s\n\nDo you want to grant access to this file?"
SEC_FILE_REPLACE                255 "The system is trying to replace the file\n\n%s\n\nDo you want to allow this?"
SEC_FILE_CREATE_NO_ROOT         255 "The system is trying to create the file\n\n%s\n\nDo you want to allow this?"
SEC_FILE_CREATE                 255 "The system is trying to create the file\n\n%s\n\nin the directory\n\n%s\n\nDo you want to grant the permission to modify the parent directory and all its subdirectories?"
SEC_DIRECTORY_DELETE            255 "The system is trying to delete the directory\n\n%s\n\nDo you want to allow this?"
