epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.451,1.2303,1.41506,1.09363,0.94492,0.46579,0.76992,0.5097,1.15614,1.93059,0.99764,0.000657778,0.000657778,0.000657778
2,795.245,1.1659,0.86286,1.0576,0.80846,0.80226,0.85127,0.55766,1.13267,0.90411,1.02968,0.00129822,0.00129822,0.00129822
3,1188.47,1.1397,0.79434,1.04867,0.78032,0.77715,0.82499,0.5502,1.09991,0.92591,1.01185,0.00191226,0.00191226,0.00191226
4,1580.86,1.14262,0.74682,1.05389,0.85128,0.78839,0.87345,0.5989,1.05777,0.85105,0.99362,0.0018812,0.0018812,0.0018812
5,1970.38,1.11636,0.69097,1.04285,0.91954,0.90169,0.94104,0.63164,1.03502,0.66185,0.98838,0.0018416,0.0018416,0.0018416
6,2360.87,1.08897,0.66277,1.0359,0.89883,0.89607,0.94347,0.63361,1.05645,0.70989,1.00323,0.001802,0.001802,0.001802
7,2752.64,1.05819,0.63383,1.02475,0.92392,0.88951,0.95067,0.65833,1.00329,0.57716,0.9701,0.0017624,0.0017624,0.0017624
8,3144.04,1.05971,0.62066,1.02456,0.89697,0.88035,0.92366,0.63955,1.03223,0.61447,0.98722,0.0017228,0.0017228,0.0017228
9,3538.29,1.04565,0.60824,1.02117,0.91381,0.91326,0.95587,0.66451,0.98635,0.54229,0.97384,0.0016832,0.0016832,0.0016832
10,3933.27,1.02989,0.58832,1.01359,0.93572,0.92682,0.96173,0.67102,1.00915,0.54229,0.96855,0.0016436,0.0016436,0.0016436
11,4326.03,1.02005,0.58739,1.01116,0.93748,0.91667,0.96162,0.67016,0.97355,0.53955,0.96435,0.001604,0.001604,0.001604
12,4713.39,1.029,0.57748,1.01334,0.93702,0.90262,0.9561,0.67705,0.97185,0.51384,0.95985,0.0015644,0.0015644,0.0015644
13,5100.6,1.01157,0.56682,1.00835,0.91346,0.92899,0.95562,0.67791,0.97224,0.54743,0.95834,0.0015248,0.0015248,0.0015248
14,5485.9,1.00303,0.55806,1.00426,0.9385,0.92509,0.96402,0.68837,0.94957,0.50487,0.95334,0.0014852,0.0014852,0.0014852
15,5879.1,0.99862,0.5483,1.00135,0.9139,0.92228,0.95621,0.66422,0.99051,0.56275,0.96896,0.0014456,0.0014456,0.0014456
16,6278.37,1.00138,0.54784,1.00018,0.94603,0.91386,0.95934,0.67688,0.9713,0.52001,0.95968,0.001406,0.001406,0.001406
17,6709.63,0.98705,0.53643,0.99407,0.93004,0.9335,0.96281,0.6799,0.93979,0.49842,0.94441,0.0013664,0.0013664,0.0013664
18,7124.15,0.9888,0.52781,0.99958,0.94509,0.9347,0.97293,0.68988,0.93647,0.49398,0.95249,0.0013268,0.0013268,0.0013268
19,7527.82,0.98526,0.52706,1.00008,0.92874,0.9382,0.96913,0.69031,0.94639,0.4885,0.95552,0.0012872,0.0012872,0.0012872
20,7913.68,0.97047,0.52099,0.99352,0.94817,0.92498,0.96579,0.68481,0.94505,0.48226,0.9485,0.0012476,0.0012476,0.0012476
21,8294.2,0.95942,0.51503,0.98344,0.94259,0.94382,0.97042,0.68524,0.93452,0.48912,0.94967,0.001208,0.001208,0.001208
22,8674.92,0.96312,0.51105,0.9867,0.94432,0.92096,0.96623,0.69883,0.92776,0.47834,0.94386,0.0011684,0.0011684,0.0011684
23,9052.61,0.93865,0.49988,0.97914,0.9321,0.93836,0.96777,0.70119,0.91749,0.46132,0.94077,0.0011288,0.0011288,0.0011288
24,9421.99,0.95148,0.49687,0.98692,0.94236,0.93382,0.96936,0.6992,0.92194,0.4622,0.94151,0.0010892,0.0010892,0.0010892
25,9792.46,0.93009,0.49485,0.98022,0.93783,0.94628,0.97764,0.71092,0.92421,0.45865,0.93847,0.0010496,0.0010496,0.0010496
26,10161.8,0.93221,0.49001,0.98249,0.93932,0.94288,0.97635,0.70972,0.91681,0.45129,0.94219,0.00101,0.00101,0.00101
27,10533.1,0.93039,0.48692,0.97466,0.94673,0.93192,0.97239,0.70913,0.90657,0.45694,0.9372,0.0009704,0.0009704,0.0009704
28,10902.6,0.92895,0.47991,0.97877,0.9447,0.94372,0.97143,0.7068,0.91548,0.44607,0.94087,0.0009308,0.0009308,0.0009308
29,11273.7,0.93981,0.48285,0.97732,0.95225,0.93363,0.97913,0.70889,0.9012,0.4403,0.93546,0.0008912,0.0008912,0.0008912
30,11642.9,0.93381,0.47762,0.9823,0.94677,0.94195,0.97124,0.71007,0.90429,0.4398,0.93597,0.0008516,0.0008516,0.0008516
31,12012.1,0.91732,0.46934,0.97211,0.94271,0.94663,0.97581,0.71487,0.89993,0.4389,0.93415,0.000812,0.000812,0.000812
32,12379.7,0.90938,0.46406,0.96879,0.95618,0.93975,0.97659,0.71575,0.89817,0.43295,0.93558,0.0007724,0.0007724,0.0007724
33,12748.1,0.92052,0.46537,0.97309,0.95242,0.93718,0.97465,0.71256,0.89559,0.4293,0.93587,0.0007328,0.0007328,0.0007328
34,13115.9,0.88682,0.46306,0.96486,0.9593,0.92696,0.97332,0.71467,0.89812,0.4318,0.93387,0.0006932,0.0006932,0.0006932
35,13487.8,0.91266,0.46646,0.97011,0.95721,0.94476,0.975,0.7173,0.89099,0.42221,0.93234,0.0006536,0.0006536,0.0006536
36,13859,0.88391,0.45003,0.96176,0.95722,0.94275,0.97671,0.7228,0.88274,0.41634,0.92979,0.000614,0.000614,0.000614
37,14227.2,0.8885,0.44709,0.96123,0.95135,0.94007,0.98118,0.71752,0.88905,0.42176,0.92875,0.0005744,0.0005744,0.0005744
38,14596.7,0.88679,0.44658,0.95405,0.95206,0.9484,0.97957,0.72378,0.88791,0.41438,0.9277,0.0005348,0.0005348,0.0005348
39,14967.6,0.88414,0.4405,0.95859,0.9554,0.94382,0.98086,0.7243,0.87677,0.40884,0.92345,0.0004952,0.0004952,0.0004952
40,15340.3,0.88629,0.44423,0.96046,0.94719,0.95723,0.98006,0.72191,0.88937,0.41181,0.92978,0.0004556,0.0004556,0.0004556
41,15701.7,0.85704,0.42,0.94617,0.94069,0.95225,0.97527,0.71951,0.88279,0.41941,0.92605,0.000416,0.000416,0.000416
42,16060.8,0.84567,0.41174,0.9403,0.95651,0.94757,0.97677,0.72015,0.88825,0.41286,0.92798,0.0003764,0.0003764,0.0003764
43,16419.7,0.84014,0.40234,0.93275,0.95893,0.94004,0.97894,0.72162,0.88352,0.41229,0.92645,0.0003368,0.0003368,0.0003368
44,16779,0.83671,0.39901,0.93971,0.94656,0.95318,0.98031,0.72743,0.87561,0.40828,0.92637,0.0002972,0.0002972,0.0002972
45,17138.8,0.82333,0.39239,0.93184,0.9583,0.94944,0.98172,0.72986,0.86901,0.40233,0.92304,0.0002576,0.0002576,0.0002576
46,17497.8,0.82331,0.39047,0.93564,0.95945,0.94757,0.98329,0.72814,0.8677,0.39841,0.92117,0.000218,0.000218,0.000218
47,17857.3,0.82097,0.38596,0.92689,0.96519,0.94476,0.98506,0.72978,0.86858,0.39543,0.91989,0.0001784,0.0001784,0.0001784
48,18217.3,0.82669,0.38749,0.92922,0.96192,0.94602,0.98421,0.73036,0.86839,0.39406,0.92209,0.0001388,0.0001388,0.0001388
49,18580.2,0.80882,0.37853,0.9274,0.95684,0.94944,0.9824,0.73025,0.86169,0.39009,0.92103,9.92e-05,9.92e-05,9.92e-05
50,18943.1,0.80649,0.37765,0.92543,0.95819,0.95037,0.98305,0.73123,0.85932,0.38901,0.9196,5.96e-05,5.96e-05,5.96e-05
